Company,Bond Rating,Date,Open,High,Low,Close,Volume,Adj Close
IBM,,6/1/2016,153,153.27,151.54,152.51,2663400,151.2041
,,5/31/2016,152.56,153.81,152.27,153.74,5836600,152.4236
,,5/27/2016,152.35,152.93,152.15,152.84,2457100,151.5313
,,5/26/2016,151.55,152.51,151.05,152.44,3062900,151.1347
,,5/25/2016,148.93,152.09,148.5,151.69,4355300,150.3911
,,5/24/2016,146.88,148.75,146.88,148.31,2929300,147.0401
,,5/23/2016,147.61,147.95,146.66,146.77,2103800,145.5133
,,5/20/2016,145.71,147.51,145.55,147.25,3671500,145.9891
,,5/19/2016,146.48,146.93,143.96,144.93,3685600,143.689
,,5/18/2016,147.99,148.52,146.36,147.34,2491100,146.0784
,,5/17/2016,149.21,149.5,147.29,148,3490600,146.7327
,,5/16/2016,147.65,149.99,147.44,149.46,3069100,148.1802
,,5/13/2016,148.79,149.86,147.42,147.72,2398000,146.4551
,,5/12/2016,149.21,149.39,147.11,148.84,3249200,147.5655
,,5/11/2016,149.71,151.09,148.74,148.95,3093000,147.6746
,,5/10/2016,148.24,150.04,147.74,149.97,3992700,148.6859
,,5/9/2016,147.7,148.2,147.01,147.34,4302400,146.0784
,,5/6/2016,144.86,147.97,144.47,147.29,4895800,146.0288
,,5/5/2016,145.95,147.3,145.45,146.47,6501200,143.8278
,,5/4/2016,143.36,145,143.31,144.25,2577100,141.6479
,,5/3/2016,144.65,144.9,142.9,144.13,3584300,141.53
,Aa3,5/2/2016,146.56,147,144.43,145.27,3502400,142.6495
,,4/29/2016,146.49,147.34,144.19,145.94,4225800,143.3074
,,4/28/2016,149.75,150.18,146.73,147.07,3791500,144.417
,,4/27/2016,149.35,150.78,148.97,150.47,3111200,147.7557
,,4/26/2016,148.65,149.79,147.9,149.08,2979800,146.3907
,,4/25/2016,148.16,148.9,147.11,148.81,2848900,146.1256
,,4/22/2016,149.44,151,147.5,148.5,5191900,145.8212
,,4/21/2016,146.58,150.12,146.46,149.3,6017700,146.6068
,,4/20/2016,144.24,147.2,144,146.11,6754300,143.4743
,,4/19/2016,146.47,146.95,142.61,144,13190200,141.4024
